date,AGG,EEM,GLD,IWM,QQQ,SPY,TLT
2011-10-06,0.5256518307761008,0.0635012003591724,0.09448787614579561,0.058974671544085824,0.08091443014901563,0.08079588384126642,0.0956741071845635
2011-10-07,0.5260083763575095,0.06340624625035855,0.09419293999808266,0.05873925951122105,0.08093045037218949,0.08069458530958173,0.096028142201057
2011-10-10,0.529252712081047,0.06252669708818871,0.09374858339224956,0.058176776548455766,0.080245175548167,0.0798437975854365,0.09620625775645551
2011-10-11,0.5289175694987771,0.06255669329750456,0.09372776184474958,0.05821703967993279,0.08020024666042473,0.07988883294474305,0.09649185607386823
2011-10-12,0.5280011527314167,0.06212713990297312,0.09400509108233497,0.05838992203930156,0.08088407342589317,0.08015370139348943,0.09643891942459115
2011-10-13,0.5284974244466317,0.06200980353549038,0.09386721565413754,0.05828324170072239,0.08063459803959307,0.08000846536287089,0.09669925126055415
2011-10-14,0.5291070387367203,0.061985231738080473,0.09408257994557685,0.05817420676076446,0.08032478353754564,0.07996976693947537,0.09635639234183686
2011-10-17,0.5283693562765213,0.06174363132907634,0.0946685878334966,0.05810928894955501,0.08061356052982611,0.08000684106996798,0.09648873401155669
2011-10-18,0.5306825980247544,0.06108489934789296,0.09452371336813331,0.05761072246201524,0.08023841366945797,0.07929197983239902,0.09656767329534699
2011-10-19,0.5318163084081282,0.06096607498772437,0.09419835427190626,0.057488114986153596,0.07977925020729087,0.07916994082482855,0.09658195631396799
2011-10-20,0.531896326730384,0.060788177878125654,0.0936071048906074,0.05772721482375022,0.08043374590912186,0.0794356205797315,0.09611180918827937
2011-10-21,0.5335362068226052,0.06029712062399537,0.09347955666418752,0.057528651824358915,0.0803250101068032,0.07903760445763569,0.09579584950041414
2011-10-24,0.5397394437044404,0.05875823200607208,0.0924626940405579,0.056420037476400814,0.07898722014968748,0.07811427827495941,0.09551809434788203
2011-10-25,0.5382978613087003,0.0592969535497372,0.09200564716386489,0.05675813619840275,0.07943960549528815,0.07860087786830044,0.0956009184157062
2011-10-26,0.5375838522149675,0.059125737395373405,0.09229657439991122,0.05666820064503237,0.07978420330037778,0.0787727654383973,0.09576866660594036
2011-10-27,0.5394386649563476,0.057996204473668475,0.09340702890631356,0.05622861231407477,0.08013250177408184,0.07848339476850631,0.09431359280700738
2011-10-28,0.5352843260379873,0.05865496251129279,0.09188518469654551,0.05702214936594706,0.08192566289950404,0.08012467847432166,0.09510303601440181
2011-10-31,0.5422320425297833,0.05752332094717705,0.09088302691114046,0.056410117760157474,0.08094303036862778,0.07869898478470559,0.09330947669840825
2011-11-01,0.5281451966166932,0.06050029776486073,0.09216545900653253,0.05924256253136848,0.08485892757445973,0.08301735214087233,0.09207020436521313
2011-11-02,0.5289364052789165,0.06066754789631881,0.09001804616824899,0.06009697595784104,0.08667587850169382,0.08409100702330889,0.08951413917367167
2011-11-03,0.5344910684976156,0.06018667552129237,0.08870381968662575,0.05909641382714834,0.08620233338039339,0.08411304269916478,0.0872066463877598
2011-11-04,0.5668392049883016,0.05577691105321891,0.08034475314017107,0.05427217903127907,0.08048557897388138,0.07852143982036353,0.08375993299278428
2011-11-07,0.5723701760732536,0.055068322312446294,0.07832327594101926,0.05363064409254128,0.07957164179906766,0.07759556862898905,0.08344037115268288
2011-11-08,0.5714828558605614,0.05530154532386417,0.07833127398462246,0.05393942122032942,0.07967615784934119,0.07804517088881878,0.08322357487246272
2011-11-09,0.5767306701658234,0.05355761173656118,0.07906266794186938,0.05311665356333616,0.0778539283138447,0.07615643960340122,0.08352202867516396
2011-11-10,0.5761619015503264,0.05365656627423642,0.0791622095899245,0.053184336555410903,0.07807847051125782,0.07616067625037769,0.08359583926846618
2011-11-11,0.5696478452923351,0.05406641548033066,0.07842135092253746,0.054306845582328116,0.08182810736042864,0.07836512965897745,0.08336430570306262
2011-11-14,0.5688835182863184,0.05400208024948931,0.07865041626781431,0.05433910298620704,0.08253451990467801,0.07870154015549707,0.08288882214999571
