date,AGG,EEM,GLD,IWM,QQQ,SPY,TLT
2011-03-23,0.33254879099905654,0.0957670802143057,0.11794800225356517,0.0981642028545264,0.11056343673474021,0.126775429984535,0.11823305695927094
2011-03-24,0.3389990555703533,0.09433447766417954,0.11806351833617348,0.09699006936454665,0.1075123291490815,0.12434394530817242,0.11975660460749293
2011-03-25,0.3511045366319602,0.09284568407632421,0.11538986505067164,0.09471622008701185,0.10509439283717394,0.12131084444404167,0.11953845687281649
2011-03-28,0.3513338673412213,0.09284144315983452,0.11537420053231547,0.09471446474617887,0.10494063623094235,0.12126610923210052,0.11952927875740693
2011-03-29,0.35560660270994154,0.09189814992170674,0.11565984443193592,0.09395744443437606,0.10377670365086741,0.11988903275980917,0.11921222209136308
2011-03-30,0.35427154758368623,0.09160347293676861,0.11569480172624236,0.09431038051717379,0.10482221566043959,0.12032449903094806,0.11897308254474141
2011-03-31,0.3515029195758046,0.09108342384274237,0.12005013903726044,0.0948130690060705,0.10438736747237273,0.1197496344251307,0.1184134466406185
2011-04-01,0.35682330461800404,0.08910165888938237,0.1178935834044821,0.09377882656141975,0.10312459555325548,0.11784904152413891,0.12142898944931742
2011-04-04,0.3557942688222533,0.0893448800701854,0.11804602726286911,0.0939574467267083,0.10314939360739939,0.11800976740482849,0.12169821610575596
2011-04-05,0.35824106745069173,0.0895004292742145,0.11577657820578825,0.09396393599566438,0.10297311977795182,0.1179186257274151,0.12162624356827427
2011-04-06,0.35835681753111104,0.0900259209398406,0.11614320035122196,0.09424522179969826,0.10326180258546883,0.11822117372364989,0.11974586306900951
2011-04-07,0.35865299489829894,0.090170415828639,0.11621378995593855,0.09396291887729463,0.10312758850745438,0.11800719719250694,0.11986509473986758
2011-04-08,0.35674609366602367,0.09137422201943529,0.11590767085266132,0.09374194375661603,0.1033115501348698,0.1186153602272251,0.12030315934316874
2011-04-11,0.36073564595133006,0.09053869148329191,0.1156188121998207,0.09275810928685697,0.10248250754996932,0.11759896988132099,0.12026726364741003
2011-04-12,0.3579006705818577,0.09006105533119434,0.11709795786968713,0.09292700874281491,0.10330167369413533,0.11835404981991877,0.12035758396039174
2011-04-13,0.3579511938404698,0.08994559976089911,0.11737435218350933,0.09298464379596191,0.1030050729818681,0.11845725682686549,0.12028188061042629
2011-04-14,0.35606364320889816,0.08991176435231352,0.11559757751784053,0.09524146775843977,0.10345832029016926,0.11923522435891445,0.12049200251342433
2011-04-15,0.3550823814502803,0.08984776896243508,0.11852120417500563,0.09489794850427229,0.10315806759667152,0.11845689812814579,0.1200357311831895
2011-04-18,0.3588139597758262,0.08825079265208442,0.11835038380106379,0.09388802066438245,0.10315054328808027,0.1169950728734715,0.12055122694509146
2011-04-19,0.35740972197081594,0.08793145555600329,0.1189204784956384,0.09409306711817775,0.10410163447069207,0.11707225232112396,0.12047139006754858
2011-04-20,0.36251355895360626,0.08689259374369418,0.1193186035224447,0.09293549219608142,0.10153297214669169,0.11564025600918224,0.12116652342829955
2011-04-21,0.36529685062099004,0.0861200640388968,0.11845923440507002,0.09268486645740484,0.1003531659724963,0.11433394309066858,0.12275187541447344
2011-04-25,0.36216761039561646,0.08525732792519089,0.12627699253324187,0.09187486295026288,0.09958905151245526,0.11323771198321957,0.12159644270001316
2011-04-26,0.35207814780475544,0.08748881799227805,0.12906194703185597,0.09354713334662804,0.10263932627304125,0.11513293466521299,0.12005169288622822
2011-04-27,0.35517503774065073,0.08783785657382215,0.12527881016322417,0.09376184104126509,0.10273041779542452,0.11549836443229963,0.11971767225331378
2011-04-28,0.352448971002083,0.08852657728849417,0.12457205387863443,0.09497024034239354,0.10395130516054679,0.11695943397623598,0.1185714183516121
2011-04-29,0.3541073570653001,0.08875620745007343,0.12214360029741322,0.09515225634909211,0.10407208938821672,0.1171365663841623,0.11863192306574216
2011-05-02,0.36115336910317986,0.08805126096803971,0.11956228959343726,0.09365499914705686,0.10311069106107609,0.11599201358912845,0.11847537653808184
2011-05-03,0.36767952367048146,0.08583807094803574,0.11857475008437013,0.09217136177824357,0.10223769127553639,0.11481852050869996,0.11868008173463275
2011-05-04,0.3687298131156616,0.0854415197486155,0.1161283486431228,0.09220641499396998,0.1028622667863161,0.11523310514714825,0.11939853156516574
2011-05-05,0.37625512049104376,0.08526428556843749,0.1083595530415533,0.09237051188021944,0.10302310238621418,0.11462834054457077,0.12009908608796124
2011-05-06,0.3767098064938808,0.08627666226916392,0.10724858669725147,0.09228307226030193,0.10287400360041196,0.11439173854531606,0.12021613013367388
2011-05-09,0.38186661182048537,0.08585864190055931,0.10510770621454821,0.09106313441660682,0.10184720124701954,0.11314317112714178,0.121113533273639
2011-05-10,0.3845040448173988,0.08545392609251298,0.10474719363410848,0.09019708521069068,0.10116719069435706,0.11214109942199282,0.1217894601289391
2011-05-11,0.38605390360514413,0.08456547031292261,0.10454415231383869,0.08947419004562476,0.10141576083512288,0.11169890907404419,0.12224761381330265
2011-05-12,0.384680552020113,0.08481719696797091,0.10516220732761282,0.0896573155447524,0.10156610825748155,0.11202431712468341,0.12209230275738597
2011-05-13,0.38586801598852305,0.0839850979081237,0.10511158494891176,0.08947663078406391,0.10133881454246102,0.1122239105435641,0.12199594528435231
2011-05-16,0.38751195452048515,0.08411871603644816,0.10544373757527653,0.08906060472663083,0.09980343757576475,0.1121070051096257,0.12195454445576887
